num	kind	unid	bie	term	desc	name	occur	xpath
1	ヘッダ部		MA	統合請求書	受注者が発注者に交付する月締めインボイス文書（メッセージ）	rsm:SMEConsolidatedInvoice	－	rsm:SMEConsolidatedInvoice
2	ヘッダ部	UN01005479	ASMA	取引設定クラス	メッセージの設定内容に関する情報からなるクラス	rsm:CIExchangedDocumentContext	1..1	rsm:CIExchangedDocumentContext
3	ヘッダ部	UN01005480	BBIE	取引識別子	メッセージがやり取りされる取引番号	ram:SpecifiedTransactionID	0..1	rsm:CIExchangedDocumentContext/ram:SpecifiedTransactionID
4	ヘッダ部	UN01012746	BBIE	処理日時	メッセージがやり取りされる日時	ram:ProcessingTransactionDateTime	0..1	rsm:CIExchangedDocumentContext/ram:ProcessingTransactionDateTime
5	ヘッダ部	UN01005481	ASBIE	取引設定内容/取引プロセスグループ	取引設定内容の取引プロセスに関する情報	ram:BusinessProcessSpecifiedCIDocumentContextParameter	1..1	rsm:CIExchangedDocumentContext/ram:BusinessProcessSpecifiedCIDocumentContextParameter
6	ヘッダ部	UN01005471	ABIE	取引プロセス設定クラス	取引プロセスに関する情報のクラス	ram:CIDocumentContextParameter	 -	
7	ヘッダ部	UN01005472	BBIE	取引プロセス識別子	取引プロセスの識別子(ID)\n共通EDIプロバイダがプロセスをセットする	ram:ID	1..1	rsm:CIExchangedDocumentContext/ram:BusinessProcessSpecifiedCIDocumentContextParameter/ram:ID
8	ヘッダ部	UN01005473	BBIE	取引プロセス名	取引プロセスの名称	ram:Value	0..1	rsm:CIExchangedDocumentContext/ram:BusinessProcessSpecifiedCIDocumentContextParameter/ram:Value
9	ヘッダ部	UN01005474	ASBIE	取引プロセス/バージョングループ	取引プロセスのバージョンに関する情報	ram:SpecifiedCIDocumentVersion	1..1	rsm:CIExchangedDocumentContext/ram:BusinessProcessSpecifiedCIDocumentContextParameter/ram:SpecifiedCIDocumentVersion
10	ヘッダ部	UN01005475	ABIE	バージョンクラス	バージョンに関する情報のクラス	ram:CIDocumentVersion	 - 	
11	ヘッダ部	UN01005476	BBIE	バージョン識別子	取引プロセスのバージョン識別子	ram:ID	1..1	rsm:CIExchangedDocumentContext/ram:BusinessProcessSpecifiedCIDocumentContextParameter/ram:SpecifiedCIDocumentVersion/ram:ID
12	ヘッダ部	UN01005478	BBIE	バージョン発行日	取引プロセスのバージョン発行日	ram:IssueDateTime	1..1	rsm:CIExchangedDocumentContext/ram:BusinessProcessSpecifiedCIDocumentContextParameter/ram:SpecifiedCIDocumentVersion/ram:IssueDateTime
13	ヘッダ部	UN01005483	ASBIE	取引設定内容/取引シナリオグループ	取引設定内容の取引シナリオに関する情報	ram:ScenarioSpecifiedCIDocumentContextParameter	0..1	rsm:CIExchangedDocumentContext/ram:ScenarioSpecifiedCIDocumentContextParameter
14	ヘッダ部	UN01005471	ABIE	取引シナリオ設定クラス	取引シナリオに関する情報のクラス	ram:CIDocumentContextParameter	 -	
15	ヘッダ部	UN01005472	BBIE	取引シナリオ識別子	取引シナリオの識別子(ID)	ram:ID	0..1	rsm:CIExchangedDocumentContext/ram:ScenarioSpecifiedCIDocumentContextParameter/ram:ID
16	ヘッダ部	UN01005473	BBIE	取引シナリオ名	取引シナリオの名称	ram:Value	0..1	rsm:CIExchangedDocumentContext/ram:ScenarioSpecifiedCIDocumentContextParameter/ram:Value
17	ヘッダ部	UN01005484	ASBIE	取引設定内容/アプリケーショングループ	取引設定内容のアプリケーションに関する情報	ram:ApplicationSpecifiedCIDocumentContextParameter	0..1	rsm:CIExchangedDocumentContext/ram:ApplicationSpecifiedCIDocumentContextParameter
18	ヘッダ部	UN01005471	ABIE	アプリケーション設定クラス	アプリケーションに関する情報のクラス	ram:CIDocumentContextParameter	 -	
19	ヘッダ部	UN01005472	BBIE	アプリケーション識別子	業務アプリケーションの識別子	ram:ID	0..1	rsm:CIExchangedDocumentContext/ram:ApplicationSpecifiedCIDocumentContextParameter/ram:ID
20	ヘッダ部	UN01005473	BBIE	アプリケーション名	業務アプリケーションの名称	ram:Value	0..1	rsm:CIExchangedDocumentContext/ram:ApplicationSpecifiedCIDocumentContextParameter/ram:Value
21	ヘッダ部	UN01005486	ASBIE	取引設定内容/業務領域グループ	取引設定内容の業務領域の情報に関する情報	ram:SubsetSpecifiedCIDocumentContextParameter	1..1	rsm:CIExchangedDocumentContext/ram:SubsetSpecifiedCIDocumentContextParameter
22	ヘッダ部	UN01005471	ABIE	業務領域設定クラス	JEC業界横断EDIメッセージ業務領域に関する情報のクラス	ram:CIDocumentContextParameter	 -	
23	ヘッダ部	UN01005472	BBIE	業務領域識別子	SIPSが付与したメッセージ業務領域識別子(ID)	ram:ID	1..1	rsm:CIExchangedDocumentContext/ram:SubsetSpecifiedCIDocumentContextParameter/ram:ID
24	ヘッダ部	UN01005473	BBIE	業務領域名	SIPSが付与したメッセージ業務領域名称	ram:Value	0..1	rsm:CIExchangedDocumentContext/ram:SubsetSpecifiedCIDocumentContextParameter/ram:Value
25	ヘッダ部	UN01005474	ASBIE	業務領域/バージョングループ	業務領域のバージョンに関する情報	ram:SpecifiedCIDocumentVersion	1..1	rsm:CIExchangedDocumentContext/ram:SubsetSpecifiedCIDocumentContextParameter/ram:SpecifiedCIDocumentVersion
26	ヘッダ部	UN01005475	ABIE	バージョンクラス	バージョンに関する情報のクラス	ram:CIDocumentVersion	 - 	
27	ヘッダ部	UN01005476	BBIE	バージョン識別子	業務領域のバージョン識別子	ram:ID	1..1	rsm:CIExchangedDocumentContext/ram:SubsetSpecifiedCIDocumentContextParameter/ram:SpecifiedCIDocumentVersion/ram:ID
